model_name|prompt|response|muid|mu_val|D|D_num|D_denom|A_num|LogA
meta-llama/Llama-3.2-1B-Instruct|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| 1997?" Answer: "1997." The sentence is a simple declarative sentence with a|0|<|begin_of_text|>|-24.299240112304688|-166.9999237060547|-142.70068359375|-24.258628845214844|0.04061126708984375
meta-llama/Llama-3.2-1B-Instruct|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| 1997?" Answer: "1997." The sentence is a simple declarative sentence with a|1|Pass|-25.328475952148438|-169.6634063720703|-144.33493041992188|-24.258628845214844|1.0698471069335938
meta-llama/Llama-3.2-1B-Instruct|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| 1997?" Answer: "1997." The sentence is a simple declarative sentence with a|2|age|-23.234817504882812|-157.59584045410156|-134.36102294921875|-24.258628845214844|-1.0238113403320312
meta-llama/Llama-3.2-1B-Instruct|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| 1997?" Answer: "1997." The sentence is a simple declarative sentence with a|3|:|-24.2930908203125|-155.73789978027344|-131.44480895996094|-24.258628845214844|0.03446197509765625
meta-llama/Llama-3.2-1B-Instruct|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| 1997?" Answer: "1997." The sentence is a simple declarative sentence with a|4| "|-24.272750854492188|-153.57456970214844|-129.30181884765625|-24.258628845214844|0.01412200927734375
meta-llama/Llama-3.2-1B-Instruct|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| 1997?" Answer: "1997." The sentence is a simple declarative sentence with a|5|In|-24.254135131835938|-150.26756286621094|-126.013427734375|-24.258628845214844|-0.00449371337890625
meta-llama/Llama-3.2-1B-Instruct|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| 1997?" Answer: "1997." The sentence is a simple declarative sentence with a|6| |-24.256446838378906|-146.0488739013672|-121.79242706298828|-24.258628845214844|-0.0021820068359375
meta-llama/Llama-3.2-1B-Instruct|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| 1997?" Answer: "1997." The sentence is a simple declarative sentence with a|7|199|-25.91564178466797|-141.83721923828125|-115.92157745361328|-24.258628845214844|1.657012939453125
meta-llama/Llama-3.2-1B-Instruct|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| 1997?" Answer: "1997." The sentence is a simple declarative sentence with a|8|7|-26.283485412597656|-138.96580505371094|-112.68231964111328|-24.258628845214844|2.0248565673828125
meta-llama/Llama-3.2-1B-Instruct|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| 1997?" Answer: "1997." The sentence is a simple declarative sentence with a|9|,|-24.256484985351562|-136.66429138183594|-112.40780639648438|-24.258628845214844|-0.00214385986328125
