model_name|prompt|response|muid|mu_val|D|D_num|D_denom|A_num|LogA
Qwen/Qwen2.5-1.5B-Instruct|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| improve.NEWLINENEWLINEWhen he arrived at the beach, he saw that there was a strong wind blowing from the|0|The|-12.298576354980469|-135.4549102783203|-123.15633392333984|-12.95444107055664|-0.6558647155761719
Qwen/Qwen2.5-1.5B-Instruct|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| improve.NEWLINENEWLINEWhen he arrived at the beach, he saw that there was a strong wind blowing from the|1| sur|-13.099159240722656|-132.59056091308594|-119.49140167236328|-12.95444107055664|0.14471817016601562
Qwen/Qwen2.5-1.5B-Instruct|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| improve.NEWLINENEWLINEWhen he arrived at the beach, he saw that there was a strong wind blowing from the|2|fer|-12.955909729003906|-120.06414031982422|-107.10823059082031|-12.95444107055664|0.001468658447265625
Qwen/Qwen2.5-1.5B-Instruct|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| improve.NEWLINENEWLINEWhen he arrived at the beach, he saw that there was a strong wind blowing from the|3| woke|-12.981498718261719|-116.97093200683594|-103.98943328857422|-12.95444107055664|0.027057647705078125
Qwen/Qwen2.5-1.5B-Instruct|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| improve.NEWLINENEWLINEWhen he arrived at the beach, he saw that there was a strong wind blowing from the|4| up|-12.956207275390625|-104.84463500976562|-91.888427734375|-12.95444107055664|0.001766204833984375
Qwen/Qwen2.5-1.5B-Instruct|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| improve.NEWLINENEWLINEWhen he arrived at the beach, he saw that there was a strong wind blowing from the|5| early|-13.088134765625|-104.67621612548828|-91.58808135986328|-12.95444107055664|0.13369369506835938
Qwen/Qwen2.5-1.5B-Instruct|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| improve.NEWLINENEWLINEWhen he arrived at the beach, he saw that there was a strong wind blowing from the|6| to|-12.955177307128906|-102.66828155517578|-89.71310424804688|-12.95444107055664|0.000736236572265625
Qwen/Qwen2.5-1.5B-Instruct|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| improve.NEWLINENEWLINEWhen he arrived at the beach, he saw that there was a strong wind blowing from the|7| go|-12.95989990234375|-100.36883544921875|-87.408935546875|-12.95444107055664|0.005458831787109375
Qwen/Qwen2.5-1.5B-Instruct|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| improve.NEWLINENEWLINEWhen he arrived at the beach, he saw that there was a strong wind blowing from the|8| surfing|-13.313858032226562|-97.02823638916016|-83.7143783569336|-12.95444107055664|0.3594169616699219
Qwen/Qwen2.5-1.5B-Instruct|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| improve.NEWLINENEWLINEWhen he arrived at the beach, he saw that there was a strong wind blowing from the|9|.|-12.984306335449219|-96.98983764648438|-84.00553131103516|-12.95444107055664|0.029865264892578125
