model_name|prompt|response|muid|mu_val|D|D_num|D_denom|A_num|LogA
allenai/OLMo-2-0425-1B|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEAs the officer left the room, he couldn't help but feel a sense of relief|0|The|-12.495193481445312|-143.30609130859375|-130.81089782714844|-12.493805885314941|0.0013875961303710938
allenai/OLMo-2-0425-1B|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEAs the officer left the room, he couldn't help but feel a sense of relief|1| police|-12.697845458984375|-139.41810607910156|-126.72026062011719|-12.493805885314941|0.2040395736694336
allenai/OLMo-2-0425-1B|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEAs the officer left the room, he couldn't help but feel a sense of relief|2| officer|-12.828117370605469|-130.7737579345703|-117.94564056396484|-12.493805885314941|0.33431148529052734
allenai/OLMo-2-0425-1B|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEAs the officer left the room, he couldn't help but feel a sense of relief|3| walked|-12.537834167480469|-127.75149536132812|-115.21366119384766|-12.493805885314941|0.044028282165527344
allenai/OLMo-2-0425-1B|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEAs the officer left the room, he couldn't help but feel a sense of relief|4| into|-12.70123291015625|-121.5847396850586|-108.88350677490234|-12.493805885314941|0.2074270248413086
allenai/OLMo-2-0425-1B|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEAs the officer left the room, he couldn't help but feel a sense of relief|5| the|-12.773979187011719|-120.80010986328125|-108.02613067626953|-12.493805885314941|0.28017330169677734
allenai/OLMo-2-0425-1B|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEAs the officer left the room, he couldn't help but feel a sense of relief|6| room|-14.922866821289062|-119.7842025756836|-104.86133575439453|-12.493805885314941|2.429060935974121
allenai/OLMo-2-0425-1B|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEAs the officer left the room, he couldn't help but feel a sense of relief|7|,|-12.496452331542969|-117.92782592773438|-105.4313735961914|-12.493805885314941|0.0026464462280273438
allenai/OLMo-2-0425-1B|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEAs the officer left the room, he couldn't help but feel a sense of relief|8| carefully|-12.613670349121094|-115.7951889038086|-103.1815185546875|-12.493805885314941|0.11986446380615234
allenai/OLMo-2-0425-1B|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEAs the officer left the room, he couldn't help but feel a sense of relief|9| examining|-12.849105834960938|-109.32638549804688|-96.47727966308594|-12.493805885314941|0.3552999496459961
allenai/OLMo-2-0425-1B|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEAs the officer left the room, he couldn't help but feel a sense of relief|10| every|-12.411117553710938|-104.30480194091797|-91.89368438720703|-12.493805885314941|-0.0826883316040039
