model_name|prompt|response|muid|mu_val|D|D_num|D_denom|A_num|LogA|time
Qwen/Qwen3-1.7B|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.  He arrived at the beach and saw that the water was calm.  He started|0|The|-14.691146850585938|-151.307861328125|-136.61671447753906|-10.664995193481445|4.026151657104492|276.6707844734192
Qwen/Qwen3-1.7B|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.  He arrived at the beach and saw that the water was calm.  He started|1| sur|-10.692977905273438|-140.4323272705078|-129.73934936523438|-10.664995193481445|0.027982711791992188|277.5308532714844
Qwen/Qwen3-1.7B|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.  He arrived at the beach and saw that the water was calm.  He started|2|fer|-10.665077209472656|-128.41575622558594|-117.75067901611328|-10.664995193481445|8.20159912109375e-05|278.4711802005768
Qwen/Qwen3-1.7B|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.  He arrived at the beach and saw that the water was calm.  He started|3| woke|-11.115577697753906|-123.23747253417969|-112.12189483642578|-10.664995193481445|0.45058250427246094|278.58868193626404
Qwen/Qwen3-1.7B|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.  He arrived at the beach and saw that the water was calm.  He started|4| up|-10.668571472167969|-117.90157318115234|-107.23300170898438|-10.664995193481445|0.0035762786865234375|277.6338653564453
Qwen/Qwen3-1.7B|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.  He arrived at the beach and saw that the water was calm.  He started|5| early|-12.829704284667969|-115.9744873046875|-103.14478302001953|-10.664995193481445|2.1647090911865234|276.8438766002655
Qwen/Qwen3-1.7B|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.  He arrived at the beach and saw that the water was calm.  He started|6| to|-10.665252685546875|-113.83476257324219|-103.16950988769531|-10.664995193481445|0.0002574920654296875|277.7351703643799
Qwen/Qwen3-1.7B|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.  He arrived at the beach and saw that the water was calm.  He started|7| go|-12.347198486328125|-110.68267059326172|-98.3354721069336|-10.664995193481445|1.6822032928466797|278.74202609062195
Qwen/Qwen3-1.7B|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.  He arrived at the beach and saw that the water was calm.  He started|8| surfing|-11.842338562011719|-109.31958770751953|-97.47724914550781|-10.664995193481445|1.1773433685302734|278.1346592903137
Qwen/Qwen3-1.7B|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.  He arrived at the beach and saw that the water was calm.  He started|9|.|-11.197990417480469|-107.28275299072266|-96.08476257324219|-10.664995193481445|0.5329952239990234|278.55368304252625
