model_name|prompt|response|muid|mu_val|D|D_num|D_denom|A_num|LogA
allenai/OLMo-2-0425-1B-Instruct|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?|  "  - A) 1997  - B) 2007  - C)|0|Pass|-10.977584838867188|-144.08811950683594|-133.11053466796875|-10.961355209350586|0.016229629516601562
allenai/OLMo-2-0425-1B-Instruct|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?|  "  - A) 1997  - B) 2007  - C)|1|age|-10.962814331054688|-133.1361846923828|-122.17337036132812|-10.961355209350586|0.0014591217041015625
allenai/OLMo-2-0425-1B-Instruct|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?|  "  - A) 1997  - B) 2007  - C)|2|:|-10.995803833007812|-131.21568298339844|-120.21987915039062|-10.961355209350586|0.03444862365722656
allenai/OLMo-2-0425-1B-Instruct|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?|  "  - A) 1997  - B) 2007  - C)|3| "|-10.959442138671875|-131.14923095703125|-120.18978881835938|-10.961355209350586|-0.0019130706787109375
allenai/OLMo-2-0425-1B-Instruct|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?|  "  - A) 1997  - B) 2007  - C)|4|In|-10.953506469726562|-127.42761993408203|-116.47411346435547|-10.961355209350586|-0.007848739624023438
allenai/OLMo-2-0425-1B-Instruct|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?|  "  - A) 1997  - B) 2007  - C)|5| |-10.959014892578125|-124.01142883300781|-113.05241394042969|-10.961355209350586|-0.0023403167724609375
allenai/OLMo-2-0425-1B-Instruct|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?|  "  - A) 1997  - B) 2007  - C)|6|199|-10.970161437988281|-121.63674926757812|-110.66658782958984|-10.961355209350586|0.008806228637695312
allenai/OLMo-2-0425-1B-Instruct|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?|  "  - A) 1997  - B) 2007  - C)|7|7|-12.507598876953125|-118.74773406982422|-106.2401351928711|-10.961355209350586|1.546243667602539
allenai/OLMo-2-0425-1B-Instruct|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?|  "  - A) 1997  - B) 2007  - C)|8|,|-10.95843505859375|-116.61113739013672|-105.65270233154297|-10.961355209350586|-0.0029201507568359375
allenai/OLMo-2-0425-1B-Instruct|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?|  "  - A) 1997  - B) 2007  - C)|9| NASA|-10.958770751953125|-116.51519775390625|-105.55642700195312|-10.961355209350586|-0.0025844573974609375
