model_name|prompt|response|muid|mu_val|D|D_num|D_denom|A_num|LogA
allenai/OLMo-2-0425-1B|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEThe police officer walked into the room, carefully examining every clue. The information|0|The|-33.65623474121094|-164.47598266601562|-130.8197479248047|-7.09354829788208|26.562686920166016
allenai/OLMo-2-0425-1B|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEThe police officer walked into the room, carefully examining every clue. The information|1| police|-34.09757995605469|-160.8224639892578|-126.72488403320312|-7.09354829788208|27.004032135009766
allenai/OLMo-2-0425-1B|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEThe police officer walked into the room, carefully examining every clue. The information|2| officer|-33.98460388183594|-151.93515014648438|-117.95054626464844|-7.09354829788208|26.891056060791016
allenai/OLMo-2-0425-1B|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEThe police officer walked into the room, carefully examining every clue. The information|3| walked|-33.740447998046875|-148.96029663085938|-115.2198486328125|-7.09354829788208|26.646900177001953
allenai/OLMo-2-0425-1B|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEThe police officer walked into the room, carefully examining every clue. The information|4| into|-34.91035461425781|-143.8182830810547|-108.90792846679688|-7.09354829788208|27.81680679321289
allenai/OLMo-2-0425-1B|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEThe police officer walked into the room, carefully examining every clue. The information|5| the|-34.01173400878906|-142.04244995117188|-108.03071594238281|-7.09354829788208|26.91818618774414
allenai/OLMo-2-0425-1B|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEThe police officer walked into the room, carefully examining every clue. The information|6| room|-36.696739196777344|-141.56689453125|-104.87015533447266|-7.09354829788208|29.603191375732422
allenai/OLMo-2-0425-1B|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEThe police officer walked into the room, carefully examining every clue. The information|7|,|-33.6512451171875|-139.08929443359375|-105.43804931640625|-7.09354829788208|26.557697296142578
allenai/OLMo-2-0425-1B|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEThe police officer walked into the room, carefully examining every clue. The information|8| carefully|-33.844322204589844|-137.03395080566406|-103.18962860107422|-7.09354829788208|26.750774383544922
allenai/OLMo-2-0425-1B|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEThe police officer walked into the room, carefully examining every clue. The information|9| examining|-34.462127685546875|-130.94927978515625|-96.48715209960938|-7.09354829788208|27.368579864501953
